WandB init failed, proceeding without WandB logging.
2025-11-15 19:09:23,911 - INFO - Config - input_dir: /dtu/blackhole/10/178320/preprocessed_2024/pickle/
2025-11-15 19:09:23,911 - INFO - Config - output_dir: /dtu/blackhole/10/178320/preprocessed_2024/final/
2025-11-15 19:09:23,911 - INFO - Config - temp_dir: /dtu/blackhole/10/178320/preprocessed_2024/final/temp_map_reduce
2025-11-15 19:09:23,911 - INFO - Config - num_workers: 128
2025-11-15 19:09:24,264 - INFO - Output directory for final results: /dtu/blackhole/10/178320/preprocessed_2024/final/
2025-11-15 19:09:24,638 - INFO - Starting reduce phase on 38026 MMSI folders
2025-11-15 19:34:47,320 - INFO - Metric - reduce_avg_time: 1.5221938059329987
2025-11-15 19:34:47,329 - INFO - Metric - errors: 0
2025-11-15 19:34:47,329 - INFO - Metric - pct_done: 2.6297796244674694
2025-11-15 19:41:51,151 - INFO - Metric - reduce_avg_time: 0.21191097819805146
2025-11-15 19:41:51,152 - INFO - Metric - errors: 0
2025-11-15 19:41:51,152 - INFO - Metric - pct_done: 5.259559248934939
2025-11-15 19:45:37,363 - INFO - Metric - reduce_avg_time: 0.07540367674827576
2025-11-15 19:45:37,364 - INFO - Metric - errors: 0
2025-11-15 19:45:37,365 - INFO - Metric - pct_done: 7.889338873402409
2025-11-15 19:48:11,680 - INFO - Metric - reduce_avg_time: 0.03857881152629852
2025-11-15 19:48:11,681 - INFO - Metric - errors: 0
2025-11-15 19:48:11,681 - INFO - Metric - pct_done: 10.519118497869878
2025-11-15 19:50:22,834 - INFO - Metric - reduce_avg_time: 0.02623051142692566
2025-11-15 19:50:22,835 - INFO - Metric - errors: 0
2025-11-15 19:50:22,835 - INFO - Metric - pct_done: 13.14889812233735
2025-11-15 19:51:54,132 - INFO - Metric - reduce_avg_time: 0.0152161865234375
2025-11-15 19:51:54,134 - INFO - Metric - errors: 0
2025-11-15 19:51:54,134 - INFO - Metric - pct_done: 15.778677746804817
2025-11-15 19:53:02,357 - INFO - Metric - reduce_avg_time: 0.009746231930596488
2025-11-15 19:53:02,359 - INFO - Metric - errors: 0
2025-11-15 19:53:02,359 - INFO - Metric - pct_done: 18.408457371272288
2025-11-15 19:54:03,568 - INFO - Metric - reduce_avg_time: 0.007651042938232422
